OriginalID,Study,FlightID,Origin,Destination,Fleet,Carrier,Departure Time,Arrival Time,Ref Ellipsoid,SW Corner,NE Corner,Simulation Start-Time
271,NATselB_2019,39052,YUL,BCN,313,TS,98700,124620,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,960
131,NATselB_2019,2231,MIA,CDG,77W,AF,88800,118980,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1020
177,NATselB_2019,27555,JFK,DUB,764,DL,97800,119820,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1020
284,NATselB_2019,40726,DEN,FRA,744,LH,88200,120900,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1020
308,NATselB_2019,44433,MSP,KEF,75T,FI,91260,111960,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1080
369,NATselB_2019,94,JFK,MXP,388,EK,98400,124680,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1080
314,NATselB_2019,44790,ORD,KEF,75W,FI,91800,112680,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1140
346,NATselB_2019,6587,MSP,AMS,333,DL,92160,120840,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1140
146,NATselB_2019,24041,EWR,OPO,752,UA,96660,120240,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1260
359,NATselB_2019,7703,PHL,LHR,333,AA,97560,122040,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1380
275,NATselB_2019,39580,JFK,OSL,788,DY,97560,122040,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1440
279,NATselB_2019,40251,YYZ,LHR,788,BA,96900,120600,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1440
64,NATselB_2019,15747,AUS,LHR,744,BA,88200,120180,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1500
89,NATselB_2019,18566,DEN,LHR,788,UA,88560,119460,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1500
214,NATselB_2019,32,PTP,ORY,744,SS,82800,110220,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1500
341,NATselB_2019,5921,JFK,MAD,332,UX,97560,122340,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1560
171,NATselB_2019,2691,LAX,FRA,74H,LH,83400,121140,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1620
144,NATselB_2019,23666,SAN,FRA,343,LH,82200,122160,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1680
222,NATselB_2019,33935,MSP,CDG,772,AF,93300,121380,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1680
151,NATselB_2019,249,SFO,CDG,388,AF,84000,120480,selection-areaTime/WGS84/,minLat-35/minLon--70,maxLat-75/maxLon-5,1740
